"ExecutionId","CycleName","Issue Key","Test Summary","Labels","Project","Component","Version","Priority","Assigned To","Executed By","Executed On","ExecutionStatus","Comment","ExecutionDefects","CreationDate","Folder Name","StepId","OrderId","Step","Test Data","Expected Result","Step Result","Comments"
"28","Ad hoc","DEBA-1","new issue","","deba","","Unscheduled","Medium","","","","UNEXECUTED","","","9/Apr/18","","13","1","imjeiII","UUI","UIII","UNEXECUTED",""
"19","Ad hoc","ZEP-8","pskgl;s","","Zephyr","","Unscheduled","Medium","","anandrajeev94@gmail.com","6/Apr/18","PASS","","","6/Apr/18",""
"18","Ad hoc","ZEP-8","pskgl;s","","Zephyr","","Unscheduled","Medium","","","","UNEXECUTED","","","6/Apr/18",""
"16","Ad hoc","ZEP-8","pskgl;s","","Zephyr","","Unscheduled","Medium","","","","UNEXECUTED","","","6/Apr/18",""
"15","Ad hoc","ZEP-7","skkdfms.d","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18",""
"14","Ad hoc","ZEP-7","skkdfms.d","","Zephyr","","Unscheduled","Medium","","","","UNEXECUTED","","","6/Apr/18",""
"13","Ad hoc","ZEP-7","skkdfms.d","","Zephyr","","Unscheduled","Medium","","","","UNEXECUTED","","","6/Apr/18",""
"12","Ad hoc","ZEP-7","skkdfms.d","","Zephyr","","Unscheduled","Medium","","","","UNEXECUTED","","","6/Apr/18",""
"11","Ad hoc","ZEP-5","gjfjh","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18","","3","1","sdnkm","sdnkl","slkadfnskfnskf","UNEXECUTED",""
"11","Ad hoc","ZEP-5","gjfjh","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18","","7","2","CLONE - sdnkm","sdnkl","slkadfnskfnskf","UNEXECUTED",""
"11","Ad hoc","ZEP-5","gjfjh","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18","","4","3","deb","sdknals","dlks","UNEXECUTED",""
"11","Ad hoc","ZEP-5","gjfjh","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18","","9","4","CLONE - 
h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"11","Ad hoc","ZEP-5","gjfjh","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18","","5","5","h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"11","Ad hoc","ZEP-5","gjfjh","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","6/Apr/18","","8","6","CLONE - 
h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"10","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","3","1","sdnkm","sdnkl","slkadfnskfnskf","UNEXECUTED",""
"10","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","7","2","CLONE - sdnkm","sdnkl","slkadfnskfnskf","UNEXECUTED",""
"10","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","4","3","deb","sdknals","dlks","UNEXECUTED",""
"10","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","9","4","CLONE - 
h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"10","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","5","5","h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"10","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","8","6","CLONE - 
h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"9","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","3","1","sdnkm","sdnkl","slkadfnskfnskf","UNEXECUTED",""
"9","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","7","2","CLONE - sdnkm","sdnkl","slkadfnskfnskf","UNEXECUTED",""
"9","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","4","3","deb","sdknals","dlks","UNEXECUTED",""
"9","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","9","4","CLONE - 
h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"9","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","5","5","h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"9","Ad hoc","ZEP-5","gjfjh","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","8","6","CLONE - 
h1.anand","h3.sjs","h.dj","UNEXECUTED",""
"8","Ad hoc","ZEP-2","my test case","","Zephyr","","v7","High","anandrajeev94@gmail.com","anandrajeev94@gmail.com","9/Apr/18","PASS","found","ZEP-8 | ZEP-3","5/Apr/18","","1","1","open broser and ;ogin to gmail","usernamepwd","login","PASS","found"
"7","Ad hoc","ZEP-4","test with attachment","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","2","1","test","test","test","UNEXECUTED",""
"7","Ad hoc","ZEP-4","test with attachment","","Zephyr","","v7","Medium","anandrajeev94@gmail.com","","","UNEXECUTED","","","5/Apr/18","","12","2","aslkfn","asdnkl","aefkdl","UNEXECUTED",""
"3","Ad hoc","ZEP-4","test with attachment","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","anandrajeev94@gmail.com","5/Apr/18","FAIL","","","5/Apr/18","","2","1","test","test","test","UNEXECUTED",""
"3","Ad hoc","ZEP-4","test with attachment","","Zephyr","","Unscheduled","Medium","anandrajeev94@gmail.com","anandrajeev94@gmail.com","5/Apr/18","FAIL","","","5/Apr/18","","12","2","aslkfn","asdnkl","aefkdl","UNEXECUTED",""
